g’,Gsize,NextClosure,Lindig,Inherit-Concepts,InClose,Bordat,Godin,Norris,AddIntent
10,350,4212,9488,2790,130,569,15430,6217,0
10,350,4189,9435,2756,126,561,15250,6332,0
10,350,4135,9342,2746,131,554,15129,6442,0
10,350,4108,9302,2739,127,560,15126,6092,0
10,350,4138,9370,2740,126,557,15125,6164,0
10,350,4135,9423,2743,130,565,15277,6103,0
10,355,4135,9423,2743,130,565,15277,6103,0
10,350,4140,9461,2755,130,565,15380,6151,0
10,350,4145,9348,2731,128,560,15124,6070,0
10,350,4136,9327,2746,127,553,14991,6175,0
,MEDIA,"4147,3","9391,9","2748,9","128,5","560,9","15210,9","6184,9",0
